DATE,sup,sup_py,sup_ny,r1,w1,r2,w2,wetc
200101상순,61,,,경상남도 진주시,9,광주광역시 광주 동구,8,43
200101중순,69,,,경상남도 진주시,19,광주광역시 광주 동구,9,41
200101하순,50,,,경상남도 진주시,23,광주광역시 광주 동구,7,20
200102상순,65,,,경상남도 진주시,27,광주광역시 광주 동구,8,30
200102중순,73,,,경상남도 진주시,47,광주광역시 광주 동구,9,17
200102하순,55,,,경상남도 진주시,35,광주광역시 광주 동구,7,14
200103상순,82,,,경상남도 진주시,49,경기도 광주시,15,18
200103중순,92,,,경상남도 진주시,60,경기도 광주시,14,18
200103하순,112,,,경상남도 진주시,75,광주광역시 광주 동구,17,20
200104상순,65,,,경상남도 진주시,45,광주광역시 광주 동구,9,11
200104중순,89,,,경상남도 진주시,62,전라남도 나주시,24,3
200104하순,93,,,경상남도 진주시,64,전라남도 나주시,27,3
200105상순,147,,,경상남도 진주시,104,전라남도 나주시,38,5
200105중순,245,,,경상남도 진주시,184,전라남도 나주시,50,11
200105하순,346,,,경상남도 진주시,275,전라남도 나주시,48,24
200106상순,258,,,경상남도 진주시,201,전라남도 나주시,29,28
200106중순,438,,,경상남도 진주시,277,경상남도 밀양시,119,42
200106하순,459,,,경상남도 진주시,215,경상남도 밀양시,197,48
200107상순,432,,,경상남도 밀양시,250,경상남도 진주시,130,52
200107중순,511,,,경상남도 밀양시,228,경상남도 진주시,164,118
200107하순,535,,,경기도 이천시,117,경상남도 밀양시,99,318
200108상순,539,,,경기도 이천시,126,강원도 횡성군,52,362
200108중순,695,,,강원도 평창군,129,강원도 홍천군,103,463
200108하순,1867,,,강원도 평창군,305,강원도 홍천군,284,1278
200109상순,959,,,강원도 평창군,224,강원도 홍천군,208,527
200109중순,678,,,강원도 평창군,226,강원도 횡성군,156,295
200109하순,394,,,강원도 평창군,163,강원도 횡성군,70,161
200110상순,295,,,강원도 평창군,98,강원도 횡성군,77,120
200110중순,282,,,강원도 평창군,123,강원도 횡성군,64,96
200110하순,218,,,강원도 평창군,107,강원도 횡성군,49,62
200111상순,191,,,강원도 평창군,84,강원도 횡성군,26,80
200111중순,136,,,강원도 평창군,46,강원도 횡성군,14,76
200111하순,112,,,강원도 평창군,17,경기도 광주시,13,83
200112상순,111,,,경상남도 밀양시,16,경상남도 진주시,12,83
200112중순,91,,,경상남도 진주시,17,경상남도 밀양시,14,60
200112하순,96,,,경상남도 진주시,18,경상남도 밀양시,15,63
200201상순,69,,,경상남도 진주시,24,광주광역시 광주 동구,11,35
200201중순,72,,,경상남도 진주시,25,광주광역시 광주 남구,7,40
200201하순,135,,,경상남도 진주시,29,광주광역시 광주 동구,25,81
200202상순,109,,,경상남도 진주시,41,광주광역시 광주 동구,19,49
200202중순,51,,,경상남도 진주시,20,광주광역시 광주 동구,12,18
200202하순,61,,,경상남도 진주시,20,광주광역시 광주 동구,12,29
200203상순,78,,,경상남도 진주시,28,광주광역시 광주 동구,20,30
200203중순,101,,,경상남도 진주시,34,광주광역시 광주 동구,30,36
200203하순,98,,,경상남도 진주시,40,광주광역시 광주 동구,30,29
200204상순,91,,,경상남도 진주시,59,광주광역시 광주 동구,16,16
200204중순,148,,,경상남도 진주시,125,전라남도 나주시,21,3
