DATE,val,yearAvg,bfYear
200101상순,20929,0,12643
200101중순,34111,0,16611
200101하순,41429,0,26111
200102상순,47944,0,33500
200102중순,62063,0,40938
200102하순,67714,0,37750
200103상순,69333,0,38813
200103중순,40938,0,41875
200103하순,29000,0,25350
200104상순,21500,0,13833
200104중순,9833,0,12500
200104하순,9000,0,10688
200105상순,10611,0,13929
200105중순,11313,0,14688
200105하순,12700,10738,14278
200106상순,19813,12807,14563
200106중순,16000,15127,17313
200106하순,16944,11162,18500
200107상순,23625,12507,13688
200107중순,27278,11413,10667
200107하순,32389,12069,9389
200108상순,13833,10822,8778
200108중순,11063,10988,12438
200108하순,20000,13189,11500
200109상순,16063,24315,25444
200109중순,13278,23623,50333
200109하순,11833,21746,52778
200110상순,10700,17850,32375
200110중순,9500,12789,16056
200110하순,7667,10285,9556
200111상순,7722,12146,8167
200111중순,8875,15556,8625
200111하순,12611,16631,11167
200112상순,17313,17981,11063
200112중순,19444,19667,12111
200112하순,22056,20313,15050
200201상순,43000,22615,20929
200201중순,41688,24231,34111
200201하순,44350,29993,41429
200202상순,67167,38556,47944
200202중순,66400,40353,62063
200202하순,40786,40591,67714
200203상순,26500,41312,69333
200203중순,21444,41049,40938
200203하순,19000,32672,29000
200204상순,15222,21054,21500
200204중순,9500,15646,9833
200204하순,13563,12303,9000
200205상순,17944,12930,10611
200205중순,20813,11993,11313
200205하순,18200,11993,12700
200206상순,18750,15259,19813
200206중순,11056,16586,16000
200206하순,11188,13123,16944
200207상순,11278,12507,23625
200207중순,9778,11413,27278
200207하순,8611,16346,32389
200208상순,14611,13100,13833
200208중순,23625,11604,11063
200208하순,27950,14222,20000
200209상순,26500,24000,16063
200209중순,30167,22971,13278
200209하순,25417,18657,11833
200210상순,12333,17850,10700
200210중순,11938,12789,9500
200210하순,11200,10285,7667
200211상순,13625,11139,7722
200211중순,16389,14032,8875
200211하순,22056,14918,12611
200212상순,23188,16030,17313
200212중순,30500,18169,19444
200212하순,29111,19369,22056
200301상순,37429,22615,43000
200301중순,40625,24231,41688
200301하순,38200,31235,44350
200302상순,37417,40259,67167
200302중순,35778,48467,66400
200302하순,36929,41603,40786
200303상순,46250,41312,26500
200303중순,44500,41049,21444
200303하순,42944,32672,19000
200304상순,29722,20532,15222
200304중순,15750,11819,9500
200304하순,11111,12676,13563
200305상순,16111,14560,17944
200305중순,18438,13204,20813
200305하순,18050,14585,18200
200306상순,21438,16771,18750
200306중순,16056,14690,11056
200306하순,16313,13148,11188
200307상순,18722,12322,11278
200307중순,16125,10484,9778
200307하순,16000,12833,8611
200308상순,9688,15044,14611
200308중순,8250,15713,23625
200308하순,12556,19817,27950
200309상순,23944,26481,26500
200309중순,23750,26993,30167
200309하순,19875,23185,25417
200310상순,20500,16628,12333
200310중순,20000,12602,11938
200310하순,15050,10802,11200
200311상순,13563,12118,13625
200311중순,12722,15088,16389
200311하순,16063,16799,22056
200312상순,22111,18660,23188
200312중순,30000,20315,30500
200312하순,30278,20665,29111
200401상순,29000,26897,37429
200401중순,32889,30523,40625
200401하순,37083,35247,38200
200402상순,36750,41565,37417
200402중순,42278,48467,35778
200402하순,42143,39567,36929
200403상순,51444,42750,46250
200403중순,40389,41049,44500
200403하순,27722,32431,42944
200404상순,17889,22148,29722
