DATE,val,yearAvg,bfYear
200101상순,28286,35349,43286
200101중순,39778,38977,41833
200101하순,43357,49239,52000
200102상순,50667,52213,50750
200102중순,64375,40380,38750
200102하순,76214,36946,36625
200103상순,83167,43137,41375
200103중순,58625,43426,31938
200103하순,47000,41685,24150
200104상순,28750,33083,20000
200104중순,24889,32131,19188
200104하순,24438,25699,18500
200105상순,22056,25452,22500
200105중순,23938,24307,26063
200105하순,26450,25667,25056
200106상순,25813,22705,26188
200106중순,21556,19100,21250
200106하순,19444,16819,18222
200107상순,24125,16361,19250
200107중순,29167,18184,21944
200107하순,22833,15139,14778
200108상순,22833,14162,17167
200108중순,27875,15384,14875
200108하순,25450,20011,16900
200109상순,22375,21329,23278
200109중순,25167,23655,44667
200109하순,24611,22750,32500
200110상순,17500,21979,25500
200110중순,14389,21160,21667
200110하순,13056,22117,18222
200111상순,15333,22972,19278
200111중순,17938,23602,18250
200111하순,19167,24439,19889
200112상순,20375,28880,19750
200112중순,22556,29639,22833
200112하순,26389,31800,25150
200201상순,32929,32968,28286
200201중순,32625,35995,39778
200201하순,66700,43175,43357
200202상순,82611,48102,50667
200202중순,62900,40380,64375
200202하순,45786,36946,76214
200203상순,53563,48518,83167
200203중순,57944,45796,58625
200203하순,40111,44778,47000
200204상순,30833,31071,28750
200204중순,27167,29213,24889
200204하순,32000,26553,24438
200205상순,35611,25452,22056
200205중순,42438,24786,23938
200205하순,47700,25891,26450
200206상순,32375,25262,25813
200206중순,23944,20850,21556
200206하순,24125,18093,19444
200207상순,20444,18602,24125
200207중순,17389,21339,29167
200207하순,18278,17443,22833
200208상순,21444,15660,22833
200208중순,19219,18979,27875
200208하순,24700,24061,25450
200209상순,27750,22495,22375
200209중순,29611,25451,25167
200209하순,23333,24620,24611
200210상순,19833,21979,17500
200210중순,21438,21160,14389
200210하순,24600,21724,13056
200211상순,44250,22972,15333
200211중순,50611,23602,17938
200211하순,53556,24439,19167
200212상순,63688,27255,20375
200212중순,68278,26880,22556
200212하순,59778,28367,26389
200301상순,56000,29516,32929
200301중순,40750,32926,32625
200301하순,49650,43175,66700
200302상순,35333,48102,82611
200302중순,45556,48217,62900
200302하순,63786,39613,45786
200303상순,68688,48063,53563
200303중순,67111,47500,57944
200303하순,52167,42481,40111
200304상순,30667,28444,30833
200304중순,25250,26373,27167
200304하순,30833,26553,32000
200305상순,37889,26306,35611
200305중순,40375,26481,42438
200305하순,33950,25891,47700
200306상순,30688,25262,32375
200306중순,27833,20998,23944
200306하순,23875,18093,24125
200307상순,26889,17639,20444
200307중순,30750,19397,17389
200307하순,22050,17619,18278
200308상순,23125,18683,21444
200308중순,24500,20427,19219
200308하순,25667,26661,24700
200309상순,34556,24468,27750
200309중순,35417,27197,29611
200309하순,35938,25898,23333
200310상순,33278,22257,19833
200310중순,31688,21514,21438
200310하순,29550,22491,24600
200311상순,28500,23889,44250
200311중순,30611,23602,50611
200311하순,32375,24439,53556
200312상순,36056,28477,63688
200312중순,31833,30484,68278
200312하순,32056,32198,59778
200401상순,34688,34833,56000
200401중순,50167,37718,40750
200401하순,38750,48336,49650
200402상순,42625,48102,35333
200402중순,50222,50485,45556
200402하순,56071,48732,63786
200403상순,65389,54542,68688
200403중순,44278,50412,67111
200403하순,32944,43796,52167
200404상순,31667,30083,30667
200404중순,32000,25769,25250
200404하순,29444,27942,30833
200405상순,29625,28537,37889
200405중순,28806,30125,40375
200405하순,34056,28485,33950
200406상순,28250,27562,30688
200406중순,25688,22250,27833
200406하순,23944,20514,23875
200407상순,23000,21273,26889
200407중순,25469,22833,30750
200407하순,31225,18369,22050
200408상순,32563,20572,23125
200408중순,16278,22740,24500
200408하순,19333,25272,25667
200409상순,33639,24468,34556
200409중순,21250,30613,35417
200409하순,17286,28954,35938
200410상순,14688,22257,33278
200410중순,29806,22664,31688
200410하순,29167,24124,29550
200411상순,31750,24556,28500
200411중순,30028,25361,30611
200411하순,34125,27850,32375
200412상순,33694,31736,36056
200412중순,34938,33576,31833
200412하순,29900,34500,32056
200501상순,34607,36967,34688
200501중순,33972,40787,50167
200501하순,45139,48336,38750
200502상순,61643,48014,42625
200502중순,49071,52893,50222
200502하순,66071,55214,56071
200503상순,64694,62546,65389
200503중순,65469,53616,44278
200503하순,39375,40019,32944
200504상순,48750,30083,31667
200504중순,40722,25769,32000
200504하순,29222,28238,29444
200505상순,33969,29245,29625
200505중순,24556,31748,28806
200505하순,30667,31485,34056
200506상순,22583,28375,28250
200506중순,22250,23729,25688
200506하순,27361,22421,23944
200507상순,24719,22523,23000
200507중순,28389,25527,25469
200507하순,25417,21054,31225
200508상순,14056,22468,32563
200508중순,21194,19999,16278
200508하순,27000,23161,19333
200509상순,37528,28222,33639
200509중순,30542,30065,21250
200509하순,19639,26815,17286
200510상순,24281,20944,14688
200510중순,26167,24303,29806
200510하순,24972,23996,29167
200511상순,26361,26509,31750
200511중순,22188,26296,30028
200511하순,25722,28796,34125
200512상순,32806,30042,33694
200512중순,32969,29868,34938
200512하순,33800,29448,29900
200601상순,52094,34074,34607
200601중순,67278,38167,33972
200601하순,73857,46049,45139
200602상순,78972,51645,61643
200602중순,90875,54065,49071
200602하순,89250,61976,66071
200603상순,98444,66257,64694
200603중순,67969,60679,65469
200603하순,47175,42162,39375
200604상순,42875,31056,48750
200604중순,42361,28139,40722
200604하순,39000,29833,29222
200605상순,56806,33068,33969
200605중순,33250,31245,24556
200605하순,38083,32891,30667
200606상순,42139,28250,22583
200606중순,29344,23961,22250
200606하순,22111,23981,27361
200607상순,24750,23948,24719
200607중순,29139,27675,28389
200607하순,47361,23433,25417
200608상순,58611,22468,14056
200608중순,26781,21638,21194
200608하순,32800,25272,27000
200609상순,35406,31981,37528
200609중순,50639,28440,30542
200609하순,37333,22528,19639
200610상순,30333,20538,24281
200610중순,13778,25803,26167
200610하순,13694,26246,24972
200611상순,18861,28870,26361
200611중순,18063,27609,22188
200611하순,27750,30741,25722
200612상순,30031,34185,32806
200612중순,37028,33247,32969
200612하순,42944,31919,33800
200701상순,37286,40463,52094
200701중순,32389,41630,67278
200701하순,45056,53830,73857
200702상순,54889,61080,78972
200702중순,49208,54065,90875
200702하순,38143,61976,89250
200703상순,43333,66257,98444
200703중순,47969,63508,67969
200703하순,38625,42220,47175
200704상순,36673,35125,42875
200704중순,33066,33296,42361
200704하순,28983,30759,39000
