DATE,val,yearAvg,bfYear
200101상순,34714,58849,89167
200101중순,31778,41799,76111
200101하순,39429,45470,75833
200102상순,29889,43389,70250
200102중순,26813,45357,39688
200102하순,48857,38535,33688
200103상순,70389,45443,41375
200103중순,66438,63493,50813
200103하순,69450,65554,62050
200104상순,104375,62595,36750
200104중순,95778,51313,34875
200104하순,64625,50831,30875
200105상순,50056,58659,20500
200105중순,21625,52741,15188
200105하순,18000,43606,18556
200106상순,21375,35548,29500
200106중순,20556,27308,33875
200106하순,26778,24426,31889
200107상순,23938,21991,24250
200107중순,22611,23471,26778
200107하순,21333,18843,16778
200108상순,19389,16637,15000
200108중순,19813,15087,13563
200108하순,22650,13404,13450
200109상순,22125,12549,14833
200109중순,22444,15074,26500
200109하순,26222,19619,19556
200110상순,31600,20750,27500
200110중순,26389,30236,33222
200110하순,26556,38987,41111
200111상순,30444,46896,50000
200111중순,31375,60667,62500
200111하순,34944,69926,69778
200112상순,28438,68926,69625
200112중순,24333,62491,61500
200112하순,22444,57941,51100
200201상순,22786,48278,34714
200201중순,23563,39613,31778
200201하순,27300,44187,39429
200202상순,29278,41866,29889
200202중순,61600,35933,26813
200202하순,45643,38487,48857
200203상순,61750,49525,70389
200203중순,76000,56306,66438
200203하순,87833,64500,69450
200204상순,76889,62595,104375
200204중순,50000,63875,95778
200204하순,51625,58560,64625
200205상순,53000,56630,50056
200205중순,38188,41116,21625
200205하순,22950,33309,18000
200206상순,27000,34238,21375
200206중순,42722,27308,20556
200206하순,42438,23289,26778
200207상순,49278,21887,23938
200207중순,17889,24153,22611
200207하순,14556,18037,21333
200208상순,16500,16750,19389
200208중순,16438,15289,19813
200208하순,13950,14928,22650
200209상순,18500,15333,22125
200209중순,19333,18148,22444
200209하순,19500,23093,26222
200210상순,24056,26825,31600
200210중순,28438,33074,26389
200210하순,45750,38772,26556
200211상순,63750,46896,30444
200211중순,71667,60667,31375
200211하순,105556,68241,34944
200212상순,129375,66838,28438
200212중순,104333,62229,24333
200212하순,69778,54867,22444
200301상순,63714,44738,22786
200301중순,64063,33792,23563
200301하순,106800,39921,27300
200302상순,110833,32662,29278
200302중순,90000,35933,61600
200302하순,67214,37416,45643
200303상순,54063,46646,61750
200303중순,43278,56306,76000
200303하순,36444,64500,87833
200304상순,40056,71011,76889
200304중순,55063,62229,50000
200304하순,81722,54046,51625
200305상순,89722,50880,53000
200305중순,43813,27697,38188
200305하순,27550,20909,22950
200306상순,27375,30810,27000
200306중순,32056,33512,42722
200306하순,33000,27326,42438
200307상순,20000,22137,49278
200307중순,20438,21190,17889
200307하순,22650,17556,14556
200308상순,21938,16854,16500
200308중순,24111,16248,16438
200308하순,21111,15374,13950
200309상순,23667,17833,18500
200309중순,27667,20488,19333
200309하순,33938,23093,19500
200310상순,35056,27719,24056
200310중순,34063,33757,28438
200310하순,47150,45170,45750
200311상순,61625,53917,63750
200311중순,60333,57333,71667
200311하순,53813,69788,105556
200312상순,49500,66838,129375
200312중순,46333,62229,104333
200312하순,45722,49885,69778
200401상순,56938,42365,63714
200401중순,61833,40354,64063
200401하순,61917,48921,106800
200402상순,46000,45454,110833
200402중순,38833,47529,90000
200402하순,47357,42729,67214
200403상순,64278,52396,54063
200403중순,65333,56306,43278
200403하순,72556,60426,36444
200404상순,79333,56196,40056
200404중순,77438,50521,55063
200404하순,63333,54046,81722
200405상순,35875,57769,89722
200405중순,22389,34542,43813
200405하순,26056,23019,27550
200406상순,23556,27958,27375
200406중순,25688,29956,32056
200406하순,30611,30556,33000
200407상순,23861,22729,20000
200407중순,21781,22040,20438
200407하순,26350,20254,22650
200408상순,27813,18317,21938
200408중순,27139,17269,24111
200408하순,20139,16170,21111
200409상순,29611,18486,23667
200409중순,25188,22759,27667
200409하순,21643,23093,33938
200410상순,20438,27719,35056
200410중순,35111,31907,34063
200410하순,42056,44670,47150
200411상순,38111,58458,61625
200411중순,34806,64833,60333
200411하순,39844,76078,53813
200412상순,45889,72301,49500
200412중순,39781,66361,46333
200412하순,46000,55533,45722
200501상순,45714,51789,56938
200501중순,41083,52558,61833
200501하순,45556,59060,61917
200502상순,52714,48713,46000
200502중순,47357,46707,38833
200502하순,38250,47286,47357
200503상순,50222,60030,64278
200503중순,55750,60861,65333
200503하순,74825,68019,72556
200504상순,89063,65426,79333
200504중순,94056,60833,77438
200504하순,79583,59861,63333
200505상순,30594,46310,35875
200505중순,28222,27400,22389
200505하순,29444,22520,26056
200506상순,28083,25977,23556
200506중순,24344,30539,25688
200506하순,22111,31833,30611
200507상순,22344,24016,23861
200507중순,17639,21610,21781
200507하순,23611,20254,26350
200508상순,18667,19275,27813
200508중순,15611,20120,27139
200508하순,19514,18400,20139
200509상순,15000,21431,29611
200509중순,16167,24711,25188
200509하순,17750,22474,21643
200510상순,27594,27719,20438
200510중순,35417,31907,35111
200510하순,47000,42972,42056
200511상순,48583,49912,38111
200511중순,52688,52546,34806
200511하순,60889,54478,39844
200512상순,64028,55005,45889
200512중순,59781,49205,39781
200512하순,52950,47607,46000
200601상순,42063,45789,45714
200601중순,44722,44898,41083
200601하순,47214,48967,45556
200602상순,42639,42868,52714
200602중순,43031,49263,47357
200602하순,48750,47286,38250
200603상순,77806,60030,50222
200603중순,90000,62507,55750
200603하순,95150,72277,74825
200604상순,102438,81762,89063
200604중순,110417,75519,94056
200604하순,86188,69181,79583
200605상순,46833,46310,30594
