DATE,val,yearAvg,bfYear
200101상순,,,
200101중순,,,
200101하순,,,
200102상순,,,
200102중순,,,
200102하순,,,
200103상순,,,
200103중순,,,
200103하순,,,
200104상순,,,
200104중순,,,
200104하순,,,
200105상순,,,
200105중순,,,
200105하순,,,
200106상순,,,
200106중순,,,
200106하순,,,
200107상순,,,
200107중순,,,
200107하순,,,
200108상순,,,
200108중순,,,
200108하순,,,
200109상순,,,
200109중순,,,
200109하순,,,
200110상순,,,
200110중순,,,
200110하순,,,
200111상순,,,
200111중순,,,
200111하순,,,
200112상순,,,
200112중순,,,
200112하순,,,
200201상순,,,
200201중순,,,
200201하순,,,
200202상순,,,
200202중순,,,
200202하순,,,
200203상순,,,
200203중순,,,
200203하순,,,
200204상순,,,
200204중순,,,
200204하순,,,
200205상순,,,
200205중순,,,
200205하순,,,
200206상순,,,
200206중순,,,
200206하순,,,
200207상순,,,
200207중순,,,
200207하순,,,
200208상순,,,
200208중순,,,
200208하순,,,
200209상순,,,
200209중순,,,
200209하순,,,
200210상순,,,
200210중순,,,
200210하순,,,
200211상순,,,
200211중순,,,
200211하순,,,
200212상순,,,
200212중순,,,
200212하순,,,
200301상순,,,
200301중순,,,
200301하순,,,
200302상순,,,
200302중순,,,
200302하순,,,
200303상순,,,
200303중순,,,
200303하순,,,
200304상순,,,
200304중순,,,
200304하순,,,
200305상순,,,
200305중순,,,
200305하순,,,
200306상순,,,
200306중순,,,
200306하순,,,
200307상순,,,
200307중순,,,
200307하순,,,
200308상순,,,
200308중순,,,
200308하순,,,
200309상순,,,
200309중순,,,
200309하순,,,
200310상순,,,
200310중순,,,
200310하순,,,
200311상순,,,
200311중순,,,
200311하순,,,
200312상순,,,
200312중순,,,
200312하순,,,
200401상순,,,
200401중순,,,
200401하순,,,
200402상순,,,
200402중순,,,
200402하순,,,
200403상순,,,
200403중순,,,
200403하순,,,
200404상순,,,
200404중순,,,
200404하순,,,
200405상순,,,
200405중순,,,
200405하순,,,
200406상순,,,
200406중순,,,
200406하순,,,
200407상순,,,
200407중순,,,
200407하순,,,
200408상순,,,
200408중순,,,
200408하순,,,
200409상순,,,
200409중순,,,
200409하순,,,
200410상순,,,
200410중순,,,
200410하순,,,
200411상순,,,
200411중순,,,
200411하순,,,
200412상순,,,
200412중순,,,
200412하순,,,
200501상순,,,
200501중순,,,
200501하순,,,
200502상순,,,
200502중순,,,
200502하순,,,
200503상순,,,
200503중순,,,
200503하순,,,
200504상순,,,
200504중순,,,
200504하순,,,
200505상순,,,
200505중순,,,
200505하순,,,
200506상순,,,
200506중순,,,
200506하순,,,
200507상순,,,
200507중순,,,
200507하순,,,
200508상순,,,
200508중순,,,
200508하순,,,
200509상순,,,
200509중순,,,
200509하순,,,
200510상순,,,
200510중순,,,
200510하순,,,
200511상순,,,
200511중순,,,
200511하순,,,
200512상순,,,
200512중순,,,
200512하순,,,
200601상순,,,
200601중순,,,
200601하순,,,
200602상순,,,
200602중순,,,
200602하순,,,
200603상순,,,
200603중순,,,
200603하순,,,
200604상순,,,
200604중순,,,
200604하순,,,
200605상순,,,
200605중순,,,
200605하순,,,
200606상순,,,
200606중순,,,
200606하순,,,
200607상순,,,
200607중순,,,
200607하순,,,
200608상순,20917.0,0.0,0.0
200608중순,23656.0,0.0,0.0
200608하순,41925.0,0.0,0.0
200609상순,72719.0,0.0,0.0
200609중순,48167.0,0.0,0.0
200609하순,26722.0,0.0,0.0
200610상순,34250.0,0.0,0.0
200610중순,24917.0,0.0,0.0
200610하순,31722.0,0.0,0.0
200611상순,56639.0,0.0,0.0
200611중순,41125.0,0.0,0.0
200611하순,33306.0,0.0,0.0
200612상순,26500.0,0.0,0.0
200612중순,22917.0,0.0,0.0
200612하순,26167.0,0.0,0.0
200701상순,24714.0,0.0,0.0
200701중순,23611.0,0.0,0.0
200701하순,28611.0,0.0,0.0
200702상순,40944.0,0.0,0.0
200702중순,46417.0,0.0,0.0
200702하순,57679.0,0.0,0.0
200703상순,57306.0,0.0,0.0
200703중순,62688.0,0.0,0.0
200703하순,59550.0,0.0,0.0
200704상순,84737.0,0.0,0.0
200704중순,116103.0,0.0,0.0
200704하순,140467.0,0.0,0.0
200705상순,91722.0,0.0,0.0
200705중순,50730.0,0.0,0.0
200705하순,26296.0,0.0,0.0
200706상순,25278.0,0.0,0.0
200706중순,25980.0,0.0,0.0
200706하순,26530.0,0.0,0.0
200707상순,29449.0,0.0,0.0
200707중순,20471.0,0.0,0.0
200707하순,21501.0,0.0,0.0
200708상순,34834.0,0.0,20917.0
200708중순,40701.0,0.0,23656.0
200708하순,39876.0,0.0,41925.0
