date,특,상,보통,하
2001-01-03,,40000.0,25000.0,15000.0
2001-01-04,,40000.0,25000.0,15000.0
2001-01-05,,35000.0,25000.0,15000.0
2001-01-06,,35000.0,25000.0,15000.0
2001-01-08,,34000.0,25000.0,15000.0
2001-01-09,,34000.0,25000.0,15000.0
2001-01-10,,25000.0,17500.0,11000.0
2001-01-11,,33500.0,20000.0,11000.0
2001-01-12,,32500.0,20000.0,11000.0
2001-01-13,,29000.0,17500.0,10000.0
2001-01-15,,31000.0,17500.0,10000.0
2001-01-16,,29500.0,17500.0,10000.0
2001-01-17,,29000.0,17500.0,10000.0
2001-01-18,,29500.0,17500.0,10000.0
2001-01-19,,32000.0,17500.0,10000.0
2001-01-20,,40000.0,25000.0,12500.0
2001-01-22,,42500.0,25000.0,12500.0
2001-01-23,,42500.0,25000.0,12500.0
2001-01-27,,42500.0,25000.0,15000.0
2001-01-29,,38000.0,25000.0,15000.0
2001-01-30,,36000.0,25000.0,15000.0
2001-01-31,,34500.0,25000.0,14000.0
2001-02-01,,32500.0,25000.0,14000.0
2001-02-02,,34000.0,25000.0,14000.0
2001-02-03,,31000.0,20000.0,10500.0
2001-02-05,,27500.0,20000.0,10500.0
2001-02-06,,30000.0,20000.0,10500.0
2001-02-07,,29000.0,17500.0,10500.0
2001-02-08,,26000.0,17500.0,10500.0
2001-02-09,,30000.0,20000.0,10500.0
2001-02-10,,29000.0,20000.0,10500.0
2001-02-12,,26000.0,17500.0,10500.0
2001-02-13,,26500.0,17500.0,10500.0
2001-02-14,,25500.0,17500.0,10500.0
2001-02-15,,26000.0,17500.0,10500.0
2001-02-16,,25000.0,17500.0,10500.0
2001-02-17,,26000.0,17500.0,10500.0
2001-02-19,,30500.0,22500.0,14000.0
2001-02-20,,29000.0,22500.0,14000.0
2001-02-21,,31500.0,22500.0,14000.0
2001-02-22,,31500.0,22500.0,14000.0
2001-02-23,,39500.0,32000.0,18000.0
2001-02-24,,45500.0,35000.0,22500.0
2001-02-26,,57000.0,50000.0,34000.0
2001-02-27,,67000.0,56000.0,35000.0
2001-02-28,,70000.0,50000.0,29000.0
2001-03-01,,81500.0,69000.0,45000.0
2001-03-02,,86500.0,71500.0,45000.0
2001-03-03,,86500.0,71500.0,45000.0
2001-03-05,,80500.0,69000.0,40000.0
