DATE,품목명,1위산지,1위물량,2위산지,2위물량,기타물량,총반입량
201801상순,홍고추,경상남도 진주시,14,광주광역시 광주 남구,3,6,23
201801중순,홍고추,경상남도 진주시,14,광주광역시 광주 남구,3,5,22
201801하순,홍고추,경상남도 진주시,16,경상남도 밀양시,2,3,21
201802상순,홍고추,경상남도 진주시,21,광주광역시 광주 남구,2,4,27
201802중순,홍고추,경상남도 진주시,21,광주광역시 광주 남구,2,5,27
201802하순,홍고추,경상남도 진주시,15,광주광역시 광주 남구,1,2,18
201803상순,홍고추,경상남도 진주시,14,광주광역시 광주 남구,7,5,25
201803중순,홍고추,경상남도 진주시,11,광주광역시 광주 남구,8,8,27
201803하순,홍고추,경상남도 진주시,14,광주광역시 광산구,7,10,31
201804상순,홍고추,경상남도 진주시,29,광주광역시 광산구,3,3,35
201804중순,홍고추,경상남도 진주시,37,경상남도 밀양시,1,2,40
201804하순,홍고추,경상남도 진주시,34,경상남도 밀양시,3,1,38
201805상순,홍고추,경상남도 진주시,46,경상남도 밀양시,3,1,50
201805중순,홍고추,경상남도 진주시,49,경상남도 밀양시,5,1,54
201805하순,홍고추,경상남도 진주시,79,경상남도 밀양시,10,1,90
201806상순,홍고추,경상남도 진주시,61,경상남도 밀양시,12,1,74
201806중순,홍고추,경상남도 진주시,63,경상남도 밀양시,18,2,83
201806하순,홍고추,경상남도 진주시,58,경상남도 밀양시,24,4,86
201807상순,홍고추,경상남도 진주시,38,경상남도 밀양시,25,7,69
201807중순,홍고추,경상남도 진주시,64,경상남도 밀양시,33,17,114
201807하순,홍고추,경상남도 진주시,44,경상남도 밀양시,21,73,138
201808상순,홍고추,충청남도 태안군,42,강원도 홍천군,39,129,210
201808중순,홍고추,강원도 홍천군,65,충청남도 태안군,34,141,241
201808하순,홍고추,강원도 홍천군,31,강원도 평창군,21,79,130
201809상순,홍고추,강원도 평창군,30,강원도 홍천군,27,52,108
201809중순,홍고추,강원도 평창군,36,강원도 인제군,8,32,76
201809하순,홍고추,강원도 평창군,18,강원도 인제군,5,14,37
201810상순,홍고추,강원도 평창군,24,강원도 인제군,5,18,47
201810중순,홍고추,강원도 평창군,11,광주광역시 광주 남구,7,22,40
201810하순,홍고추,광주광역시 광주 남구,9,강원도 평창군,6,20,34
201811상순,홍고추,경상남도 밀양시,9,광주광역시 광주 남구,7,16,32
201811중순,홍고추,경상남도 밀양시,17,광주광역시 광주 남구,8,15,40
201811하순,홍고추,경상남도 밀양시,10,광주광역시 광주 남구,9,13,32
201812상순,홍고추,경상남도 밀양시,10,광주광역시 광주 남구,6,17,32
201812중순,홍고추,경상남도 진주시,8,광주광역시 광주 남구,7,13,28
201812하순,홍고추,경상남도 진주시,10,광주광역시 광주 남구,7,10,28
201901상순,홍고추,경상남도 진주시,14,광주광역시 광주 남구,4,7,26
201901중순,홍고추,경상남도 진주시,12,광주광역시 광주 남구,3,5,20
201901하순,홍고추,경상남도 진주시,22,광주광역시 광주 남구,5,9,36
201902상순,홍고추,경상남도 진주시,19,광주광역시 광주 남구,5,2,25
201902중순,홍고추,경상남도 진주시,19,광주광역시 광주 남구,3,3,25
201902하순,홍고추,경상남도 진주시,14,광주광역시 광주 남구,1,3,18
201903상순,홍고추,경상남도 진주시,20,광주광역시 광주 남구,5,5,30
201903중순,홍고추,경상남도 진주시,27,광주광역시 광주 남구,8,6,42
201903하순,홍고추,경상남도 진주시,26,광주광역시 광주 남구,10,8,44
201904상순,홍고추,경상남도 진주시,38,광주광역시 광주 남구,6,6,50
201904중순,홍고추,경상남도 진주시,37,광주광역시 광주 남구,4,4,45
201904하순,홍고추,경상남도 진주시,50,경상남도 밀양시,2,3,55
201905상순,홍고추,경상남도 진주시,60,경상남도 밀양시,5,2,66
201905중순,홍고추,경상남도 진주시,68,경상남도 밀양시,6,1,75
201905하순,홍고추,경상남도 진주시,77,경상남도 밀양시,7,2,86
201906상순,홍고추,경상남도 진주시,58,경상남도 밀양시,13,2,74
201906중순,홍고추,경상남도 진주시,48,경상남도 밀양시,26,2,76
201906하순,홍고추,경상남도 진주시,42,경상남도 밀양시,33,4,79
201907상순,홍고추,경상남도 진주시,53,경상남도 밀양시,44,9,106
201907중순,홍고추,경상남도 진주시,38,경상남도 밀양시,37,17,93
201907하순,홍고추,경상남도 진주시,44,경상남도 밀양시,27,53,124
201908상순,홍고추,충청남도 태안군,23,경상남도 진주시,20,117,160
201908중순,홍고추,강원도 홍천군,57,충청남도 태안군,45,177,279
201908하순,홍고추,강원도 홍천군,71,충청남도 태안군,36,179,286
201909상순,홍고추,강원도 평창군,27,강원도 홍천군,20,66,113
201909중순,홍고추,강원도 평창군,24,강원도 홍천군,14,28,66
201909하순,홍고추,강원도 평창군,25,강원도 인제군,8,25,58
201910상순,홍고추,강원도 평창군,21,광주광역시 광주 남구,6,30,57
201910중순,홍고추,강원도 평창군,18,강원도 인제군,7,24,50
201910하순,홍고추,강원도 평창군,15,광주광역시 광주 남구,12,39,66
201911상순,홍고추,광주광역시 ,9,경상남도 밀양시,7,22,38
201911중순,홍고추,경상남도 밀양시,14,광주광역시 광주 남구,6,21,40
201911하순,홍고추,경상남도 밀양시,14,광주광역시 ,6,17,37
