DATE,품목명,단위,등급명,평균가격,전년,평년
201801상순,홍고추,10키로,상,43262,91519,73207
201801중순,홍고추,10키로,상,33163,79952,72736
201801하순,홍고추,10키로,상,35065,95090,84144
201802상순,홍고추,10키로,상,37600,63474,86271
201802중순,홍고추,10키로,상,42730,47142,83134
201802하순,홍고추,10키로,상,40911,41871,58936
201803상순,홍고추,10키로,상,80031,81613,83234
201803중순,홍고추,10키로,상,105473,91620,94337
201803하순,홍고추,10키로,상,163534,82349,101219
201804상순,홍고추,10키로,상,137143,107948,117912
201804중순,홍고추,10키로,상,107685,100521,114404
201804하순,홍고추,10키로,상,86940,54930,67319
201805상순,홍고추,10키로,상,88369,40546,45009
201805중순,홍고추,10키로,상,59073,44278,40410
201805하순,홍고추,10키로,상,44135,80237,53216
201806상순,홍고추,10키로,상,60454,69074,56142
201806중순,홍고추,10키로,상,55845,44252,47370
201806하순,홍고추,10키로,상,59889,44579,41783
201807상순,홍고추,10키로,상,59681,46606,37628
201807중순,홍고추,10키로,상,50453,32158,31856
201807하순,홍고추,10키로,상,50768,37090,28361
201808상순,홍고추,10키로,상,46848,31030,25134
201808중순,홍고추,10키로,상,43357,28430,23123
201808하순,홍고추,10키로,상,40258,33634,21743
201809상순,홍고추,10키로,상,33618,60267,30338
201809중순,홍고추,10키로,상,55919,65237,39332
201809하순,홍고추,10키로,상,55062,89675,38525
201810상순,홍고추,10키로,상,62575,152557,45272
201810중순,홍고추,10키로,상,86615,64773,58862
201810하순,홍고추,10키로,상,114367,70430,69133
201811상순,홍고추,10키로,상,123091,71697,72253
201811중순,홍고추,10키로,상,73379,58843,63463
201811하순,홍고추,10키로,상,56808,59667,65443
201812상순,홍고추,10키로,상,51802,77140,81361
201812중순,홍고추,10키로,상,42591,78289,81414
201812하순,홍고추,10키로,상,38844,58662,84694
201901상순,홍고추,10키로,상,44388,43262,67613
201901중순,홍고추,10키로,상,45838,33163,65660
201901하순,홍고추,10키로,상,57953,35065,81395
201902상순,홍고추,10키로,상,80999,37600,74511
201902중순,홍고추,10키로,상,52629,42730,56497
201902하순,홍고추,10키로,상,62141,40911,48035
201903상순,홍고추,10키로,상,78235,80031,82016
201903중순,홍고추,10키로,상,69015,105473,94337
201903하순,홍고추,10키로,상,69553,163534,118017
201904상순,홍고추,10키로,상,62469,137143,132373
201904중순,홍고추,10키로,상,61441,107685,128021
201904하순,홍고추,10키로,상,59410,86940,82741
201905상순,홍고추,10키로,상,54180,88369,52899
201905중순,홍고추,10키로,상,41830,59073,42008
201905하순,홍고추,10키로,상,39473,44135,54499
201906상순,홍고추,10키로,상,58513,60454,59907
201906중순,홍고추,10키로,상,66855,55845,48828
201906하순,홍고추,10키로,상,58502,59889,47275
201907상순,홍고추,10키로,상,40067,59681,41769
201907중순,홍고추,10키로,상,43086,50453,36048
201907하순,홍고추,10키로,상,32937,50768,31613
201908상순,홍고추,10키로,상,31154,46848,28023
201908중순,홍고추,10키로,상,24364,43357,24793
201908하순,홍고추,10키로,상,21304,40258,25725
201909상순,홍고추,10키로,상,32305,33618,31122
201909중순,홍고추,10키로,상,24810,55919,42304
201909하순,홍고추,10키로,상,39357,55062,47409
201910상순,홍고추,10키로,상,76778,62575,55705
201910중순,홍고추,10키로,상,59317,86615,67480
201910하순,홍고추,10키로,상,57145,114367,82602
201911상순,홍고추,10키로,상,65467,123091,93482
201911중순,홍고추,10키로,상,77930,73379,68652
201911하순,홍고추,10키로,상,72404,56808,65355
201912상순,홍고추,10키로,상,72799,51802,71696
201912중순,홍고추,10키로,상,63319,42591,71949
201912하순,홍고추,10키로,상,54974,38844,73998
202001상순,홍고추,10키로,상,47186,44388,59723
202001중순,홍고추,10키로,상,57000,45838,54688
202001하순,홍고추,10키로,상,66500,57953,72219
202002상순,홍고추,10키로,상,39467,80999,81907
202002중순,홍고추,10키로,상,58165,52629,57853
202002하순,홍고추,10키로,상,75161,62141,51735
202003상순,홍고추,10키로,상,91086,78235,81381
202003중순,홍고추,10키로,상,116695,69015,86789
202003하순,홍고추,10키로,상,112732,69553,95994
202004상순,홍고추,10키로,상,121487,62469,112950
202004중순,홍고추,10키로,상,101010,61441,91679
202004하순,홍고추,10키로,상,61243,59410,67093
202005상순,홍고추,10키로,상,46705,54180,53543
202005중순,홍고추,10키로,상,35356,41830,42436
202005하순,홍고추,10키로,상,50496,39473,51166
202006상순,홍고추,10키로,상,50662,58513,62680
202006중순,홍고추,10키로,상,58150,66855,50451
202006하순,홍고추,10키로,상,41577,58502,52902
202007상순,홍고추,10키로,상,50369,40067,43391
202007중순,홍고추,10키로,상,37689,43086,35828
202007하순,홍고추,10키로,상,41586,32937,33371
202008상순,홍고추,10키로,상,50705,31154,29527
202008중순,홍고추,10키로,상,47723,24364,24979
202008하순,홍고추,10키로,상,45162,21304,25218
202009상순,홍고추,10키로,상,40427,32305,30577
202009중순,홍고추,10키로,상,57045,24810,40561
202009하순,홍고추,10키로,상,129302,39357,43723
202010상순,홍고추,10키로,상,155975,76778,65581
202010중순,홍고추,10키로,상,178341,59317,62674
202010하순,홍고추,10키로,상,197283,57145,75860
202011상순,홍고추,10키로,상,180463,65467,86752
202011중순,홍고추,10키로,상,131156,77930,70051
202011하순,홍고추,10키로,상,60442,72404,62960
202012상순,홍고추,10키로,상,48709,72799,67247
202012중순,홍고추,10키로,상,61297,63319,61400
202012하순,홍고추,10키로,상,57722,54974,50827
202101상순,홍고추,10키로,상,42699,47186,44945
202101중순,홍고추,10키로,상,44770,57000,47037
202101하순,홍고추,10키로,상,45361,66500,62689
202102상순,홍고추,10키로,상,74551,39467,61313
202102중순,홍고추,10키로,상,50770,58165,52646
202102하순,홍고추,10키로,상,62563,75161,51735
202103상순,홍고추,10키로,상,97039,91086,81381
202103중순,홍고추,10키로,상,128112,116695,93211
202103하순,홍고추,10키로,상,140872,112732,91124
202104상순,홍고추,10키로,상,170402,121487,107732
202104중순,홍고추,10키로,상,125406,101010,89454
202104하순,홍고추,10키로,상,89755,61243,58528
202105상순,홍고추,10키로,상,101305,46705,47706
202105중순,홍고추,10키로,상,58291,35356,42436
202105하순,홍고추,10키로,상,73048,50496,44972
202106상순,홍고추,10키로,상,57885,50662,56543
202106중순,홍고추,10키로,상,45216,58150,52749
202106하순,홍고추,10키로,상,62639,41577,48219
202107상순,홍고추,10키로,상,61830,50369,45681
202107중순,홍고추,10키로,상,70311,37689,37644
202107하순,홍고추,10키로,상,49195,41586,37204
202108상순,홍고추,10키로,상,38692,50705,36344
202108중순,홍고추,10키로,상,28092,47723,32050
202108하순,홍고추,10키로,상,25133,45162,31732
202109상순,홍고추,10키로,상,29798,40427,35450
202109중순,홍고추,10키로,상,43889,57045,50858
202109하순,홍고추,10키로,상,32981,129302,61365
