DATE,품목명,총반입량,전년
201801상순,홍고추,23,15
201801중순,홍고추,22,24
201801하순,홍고추,21,19
201802상순,홍고추,27,24
201802중순,홍고추,27,22
201802하순,홍고추,18,12
201803상순,홍고추,25,20
201803중순,홍고추,27,27
201803하순,홍고추,31,32
201804상순,홍고추,35,30
201804중순,홍고추,40,41
201804하순,홍고추,38,41
201805상순,홍고추,50,55
201805중순,홍고추,54,61
201805하순,홍고추,90,61
201806상순,홍고추,74,61
201806중순,홍고추,83,55
201806하순,홍고추,86,67
201807상순,홍고추,69,60
201807중순,홍고추,114,102
201807하순,홍고추,138,76
201808상순,홍고추,210,109
201808중순,홍고추,241,128
201808하순,홍고추,130,125
201809상순,홍고추,108,68
201809중순,홍고추,76,72
201809하순,홍고추,37,71
201810상순,홍고추,47,31
201810중순,홍고추,40,41
201810하순,홍고추,34,48
201811상순,홍고추,32,42
201811중순,홍고추,40,32
201811하순,홍고추,32,30
201812상순,홍고추,32,24
201812중순,홍고추,28,27
201812하순,홍고추,28,27
201901상순,홍고추,26,23
201901중순,홍고추,20,22
201901하순,홍고추,36,21
201902상순,홍고추,25,27
201902중순,홍고추,25,27
201902하순,홍고추,18,18
201903상순,홍고추,30,25
201903중순,홍고추,42,27
201903하순,홍고추,44,31
201904상순,홍고추,50,35
201904중순,홍고추,45,40
201904하순,홍고추,55,38
201905상순,홍고추,66,50
201905중순,홍고추,75,54
201905하순,홍고추,86,90
201906상순,홍고추,74,74
201906중순,홍고추,76,83
201906하순,홍고추,79,86
201907상순,홍고추,106,69
201907중순,홍고추,93,114
201907하순,홍고추,124,138
201908상순,홍고추,160,210
201908중순,홍고추,279,241
201908하순,홍고추,286,130
201909상순,홍고추,113,108
201909중순,홍고추,66,76
201909하순,홍고추,58,37
201910상순,홍고추,57,47
201910중순,홍고추,50,40
201910하순,홍고추,66,34
201911상순,홍고추,38,32
201911중순,홍고추,40,40
201911하순,홍고추,37,32
201912상순,홍고추,28,32
201912중순,홍고추,32,28
201912하순,홍고추,35,28
202001상순,홍고추,25,26
202001중순,홍고추,27,20
202001하순,홍고추,43,36
202002상순,홍고추,21,25
202002중순,홍고추,24,25
202002하순,홍고추,24,18
202003상순,홍고추,23,30
202003중순,홍고추,32,42
202003하순,홍고추,42,44
202004상순,홍고추,38,50
202004중순,홍고추,36,45
202004하순,홍고추,48,55
202005상순,홍고추,58,66
202005중순,홍고추,92,75
202005하순,홍고추,82,86
202006상순,홍고추,99,74
202006중순,홍고추,121,76
202006하순,홍고추,121,79
202007상순,홍고추,124,106
202007중순,홍고추,120,93
202007하순,홍고추,143,124
202008상순,홍고추,96,160
202008중순,홍고추,183,279
202008하순,홍고추,284,286
202009상순,홍고추,215,113
202009중순,홍고추,129,66
202009하순,홍고추,115,58
202010상순,홍고추,44,57
202010중순,홍고추,48,50
202010하순,홍고추,51,66
202011상순,홍고추,44,38
202011중순,홍고추,46,40
202011하순,홍고추,51,37
202012상순,홍고추,48,28
202012중순,홍고추,35,32
202012하순,홍고추,56,35
202101상순,홍고추,32,25
202101중순,홍고추,40,27
202101하순,홍고추,46,43
202102상순,홍고추,63,21
202102중순,홍고추,36,24
202102하순,홍고추,24,24
202103상순,홍고추,52,23
202103중순,홍고추,52,32
202103하순,홍고추,60,42
202104상순,홍고추,52,38
202104중순,홍고추,68,36
202104하순,홍고추,64,48
202105상순,홍고추,73,58
202105중순,홍고추,104,92
202105하순,홍고추,120,82
202106상순,홍고추,117,99
202106중순,홍고추,102,121
202106하순,홍고추,137,121
202107상순,홍고추,129,124
202107중순,홍고추,122,120
202107하순,홍고추,286,143
202108상순,홍고추,352,96
202108중순,홍고추,589,183
202108하순,홍고추,267,284
202109상순,홍고추,174,215
202109중순,홍고추,134,129
202109하순,홍고추,93,115
202110상순,홍고추,71,44
202110중순,홍고추,96,48
202110하순,홍고추,60,51
202111상순,홍고추,66,44
202111중순,홍고추,49,46
202111하순,홍고추,42,51
202112상순,홍고추,45,48
202112중순,홍고추,42,35
202112하순,홍고추,51,56
202201상순,홍고추,41,32
202201중순,홍고추,41,40
202201하순,홍고추,59,46
202202상순,홍고추,36,63
202202중순,홍고추,32,36
202202하순,홍고추,30,24
202203상순,홍고추,46,52
202203중순,홍고추,49,52
202203하순,홍고추,60,60
202204상순,홍고추,53,52
202204중순,홍고추,73,68
202204하순,홍고추,77,64
202205상순,홍고추,87,73
202205중순,홍고추,98,104
202205하순,홍고추,126,120
202206상순,홍고추,108,117
202206중순,홍고추,118,102
202206하순,홍고추,144,137
202207상순,홍고추,97,129
202207중순,홍고추,159,122
202207하순,홍고추,228,286
202208상순,홍고추,203,352
202208중순,홍고추,178,589
202208하순,홍고추,271,267
202209상순,홍고추,156,174
202209중순,홍고추,98,134
202209하순,홍고추,90,93
202210상순,홍고추,76,71
202210중순,홍고추,68,96
202210하순,홍고추,69,60
202211상순,홍고추,69,66
202211중순,홍고추,65,49
202211하순,홍고추,71,42
202212상순,홍고추,59,45
202212중순,홍고추,45,42
202212하순,홍고추,61,51
202301상순,홍고추,42,41
202301중순,홍고추,75,41
202301하순,홍고추,47,59
202302상순,홍고추,47,36
202302중순,홍고추,34,32
202302하순,홍고추,38,30
202303상순,홍고추,53,46
202303중순,홍고추,52,49
202303하순,홍고추,62,60
202304상순,홍고추,53,53
202304중순,홍고추,57,73
202304하순,홍고추,69,77
202305상순,홍고추,102,87
202305중순,홍고추,96,98
202305하순,홍고추,121,126
202306상순,홍고추,124,108
202306중순,홍고추,113,118
202306하순,홍고추,134,144
202307상순,홍고추,119,97
202307중순,홍고추,111,159
202307하순,홍고추,164,228
202308상순,홍고추,310,203
202308중순,홍고추,300,178
202308하순,홍고추,248,271
202309상순,홍고추,156,156
202309중순,홍고추,126,98
202309하순,홍고추,104,90
202310상순,홍고추,79,76
202310중순,홍고추,69,68
202310하순,홍고추,81,69
202311상순,홍고추,79,69
202311중순,홍고추,60,65
202311하순,홍고추,62,71
202312상순,홍고추,47,59
202312중순,홍고추,57,45
202312하순,홍고추,55,61
202401상순,홍고추,43,42
202401중순,홍고추,49,75
202401하순,홍고추,49,47
202402상순,홍고추,67,47
202402중순,홍고추,41,34
202402하순,홍고추,31,38
202403상순,홍고추,51,53
202403중순,홍고추,56,52
202403하순,홍고추,55,62
202404상순,홍고추,60,53
202404중순,홍고추,46,57
202404하순,홍고추,56,69
202405상순,홍고추,93,102
202405중순,홍고추,91,96
202405하순,홍고추,102,121
202406상순,홍고추,112,124
202406중순,홍고추,124,113
202406하순,홍고추,130,134
202407상순,홍고추,159,119
202407중순,홍고추,130,111
202407하순,홍고추,142,164
202408상순,홍고추,273,310
202408중순,홍고추,302,300
202408하순,홍고추,210,248
202409상순,홍고추,147,156
202409중순,홍고추,79,126
202409하순,홍고추,81,104
202410상순,홍고추,76,79
202410중순,홍고추,61,69
202410하순,홍고추,86,81
202411상순,홍고추,53,79
202411중순,홍고추,66,60
202411하순,홍고추,56,62
202412상순,홍고추,40,47
202412중순,홍고추,39,57
202412하순,홍고추,49,55
202501상순,홍고추,40,43
202501중순,홍고추,49,49
202501하순,홍고추,53,49
202502상순,홍고추,52,67
202502중순,홍고추,39,41
202502하순,홍고추,34,31
202503상순,홍고추,42,51
202503중순,홍고추,51,56
202503하순,홍고추,64,55
202504상순,홍고추,54,60
202504중순,홍고추,61,46
202504하순,홍고추,81,56
202505상순,홍고추,81,93
202505중순,홍고추,96,91
202505하순,홍고추,130,102
202506상순,홍고추,106,112
202506중순,홍고추,114,124
202506하순,홍고추,126,130
202507상순,홍고추,101,159
202507중순,홍고추,105,130
202507하순,홍고추,179,142
202508상순,홍고추,175,273
202508중순,홍고추,266,302
202508하순,홍고추,184,210
202509상순,홍고추,171,147
202509중순,홍고추,123,79
202509하순,홍고추,112,81
202510상순,홍고추,73,76
202510중순,홍고추,88,61
202510하순,홍고추,83,86
202511상순,홍고추,46,53
202511중순,홍고추,58,66
202511하순,홍고추,41,56
202512상순,홍고추,51,40
202512중순,홍고추,53,39
202512하순,홍고추,60,49
202601상순,홍고추,46,40
202601중순,홍고추,55,49
