series,ym,ton,ton_ytd,ton_ytd_bfyear
dried,199406,0.0,0.0,0.0
dried,199407,0.0,0.0,0.0
dried,199408,0.0,0.0,0.0
dried,199409,0.0,0.0,0.0
dried,199410,0.0,0.0,0.0
dried,199411,0.0,0.0,0.0
dried,199412,0.0,0.0,0.0
dried,199501,0.0,0.0,0.0
dried,199502,0.0,0.0,0.0
dried,199503,0.0,0.0,0.0
dried,199504,0.0,0.0,0.0
dried,199505,0.0,0.0,0.0
dried,199506,0.0,0.0,0.0
dried,199507,0.0,0.0,0.0
dried,199508,0.0,0.0,0.0
dried,199509,0.0,0.0,0.0
dried,199510,0.0,0.0,0.0
dried,199511,0.0,0.0,0.0
dried,199512,0.0,0.0,0.0
dried,199601,0.0,0.0,0.0
dried,199602,0.0,0.0,0.0
dried,199603,0.0,0.0,0.0
dried,199604,0.0,0.0,0.0
dried,199605,0.0,0.0,0.0
dried,199606,0.0,0.0,0.0
dried,199607,0.0,0.0,0.0
dried,199608,0.0,0.0,0.0
dried,199609,0.0,0.0,0.0
dried,199610,0.0,0.0,0.0
dried,199611,0.0,0.0,0.0
dried,199612,0.0,0.0,0.0
dried,199701,0.0,0.0,0.0
dried,199702,0.0,0.0,0.0
dried,199703,0.0,0.0,0.0
dried,199704,0.0,0.0,0.0
dried,199705,0.0,0.0,0.0
dried,199706,0.0,0.0,0.0
dried,199707,0.0,0.0,0.0
dried,199708,0.0,0.0,0.0
dried,199709,0.0,0.0,0.0
dried,199710,0.0,0.0,0.0
dried,199711,0.0,0.0,0.0
dried,199712,0.0,0.0,0.0
dried,199801,0.0,0.0,0.0
dried,199802,0.0,0.0,0.0
dried,199803,0.0,0.0,0.0
dried,199804,0.0,0.0,0.0
dried,199805,0.0,0.0,0.0
dried,199806,0.0,0.0,0.0
dried,199807,0.0,0.0,0.0
dried,199808,0.0,0.0,0.0
dried,199809,0.0,0.0,0.0
dried,199810,0.0,0.0,0.0
dried,199811,0.0,0.0,0.0
dried,199812,0.0,0.0,0.0
dried,199901,0.0,0.0,0.0
dried,199902,0.0,0.0,0.0
dried,199903,0.0,0.0,0.0
dried,199904,0.0,0.0,0.0
dried,199905,0.0,0.0,0.0
dried,199906,0.0,0.0,0.0
dried,199907,0.0,0.0,0.0
dried,199908,0.0,0.0,0.0
dried,199909,0.0,0.0,0.0
dried,199910,0.0,0.0,0.0
dried,199911,0.0,0.0,0.0
dried,199912,0.0,0.0,0.0
dried,200001,0.0,0.0,0.0
dried,200002,0.0,0.0,0.0
dried,200003,0.0,0.0,0.0
dried,200004,0.0,0.0,0.0
dried,200005,0.0,0.0,0.0
dried,200006,0.0,0.0,0.0
dried,200007,0.0,0.0,0.0
dried,200008,0.0,0.0,0.0
dried,200009,0.0,0.0,0.0
dried,200010,0.0,0.0,0.0
dried,200011,0.0,0.0,0.0
dried,200012,0.0,0.0,0.0
dried,200101,0.0,0.0,0.0
dried,200102,0.0,0.0,0.0
dried,200103,0.0,0.0,0.0
dried,200104,0.0,0.0,0.0
dried,200105,0.0,0.0,0.0
dried,200106,0.0,0.0,0.0
dried,200107,0.0,0.0,0.0
dried,200108,0.0,0.0,0.0
dried,200109,0.0,0.0,0.0
dried,200110,0.0,0.0,0.0
dried,200111,0.0,0.0,0.0
dried,200112,0.0,0.0,0.0
dried,200201,0.0,0.0,0.0
dried,200202,0.0,0.0,0.0
dried,200203,0.0,0.0,0.0
dried,200204,0.0,0.0,0.0
dried,200205,0.0,0.0,0.0
dried,200206,0.0,0.0,0.0
dried,200207,0.0,0.0,0.0
dried,200208,0.0,0.0,0.0
dried,200209,0.0,0.0,0.0
dried,200210,0.0,0.0,0.0
dried,200211,0.0,0.0,0.0
dried,200212,0.0,0.0,0.0
dried,200301,0.0,0.0,0.0
dried,200302,0.0,0.0,0.0
dried,200303,0.0,0.0,0.0
dried,200304,0.0,0.0,0.0
dried,200305,0.0,0.0,0.0
dried,200306,0.0,0.0,0.0
dried,200307,0.0,0.0,0.0
dried,200308,0.0,0.0,0.0
dried,200309,0.0,0.0,0.0
dried,200310,0.0,0.0,0.0
dried,200311,0.0,0.0,0.0
dried,200312,0.0,0.0,0.0
dried,200401,0.0,0.0,0.0
dried,200402,0.0,0.0,0.0
dried,200403,0.0,0.0,0.0
dried,200404,0.0,0.0,0.0
dried,200405,0.0,0.0,0.0
dried,200406,0.0,0.0,0.0
dried,200407,0.0,0.0,0.0
dried,200408,0.0,0.0,0.0
dried,200409,0.0,0.0,0.0
dried,200410,0.0,0.0,0.0
dried,200411,0.0,0.0,0.0
dried,200412,0.0,0.0,0.0
dried,200501,0.0,0.0,0.0
dried,200502,0.0,0.0,0.0
dried,200503,0.0,0.0,0.0
dried,200504,0.0,0.0,0.0
dried,200505,0.0,0.0,0.0
dried,200506,0.0,0.0,0.0
dried,200507,0.0,0.0,0.0
dried,200508,0.0,0.0,0.0
dried,200509,0.0,0.0,0.0
dried,200510,0.0,0.0,0.0
dried,200511,0.0,0.0,0.0
dried,200512,0.0,0.0,0.0
dried,200601,0.0,0.0,0.0
dried,200602,0.0,0.0,0.0
dried,200603,0.0,0.0,0.0
dried,200604,0.0,0.0,0.0
dried,200605,0.0,0.0,0.0
dried,200606,0.0,0.0,0.0
dried,200607,0.0,0.0,0.0
dried,200608,0.0,0.0,0.0
dried,200609,0.0,0.0,0.0
dried,200610,0.0,0.0,0.0
dried,200611,0.0,0.0,0.0
dried,200612,0.0,0.0,0.0
dried,200701,0.0,0.0,0.0
dried,200702,0.0,0.0,0.0
dried,200703,0.0,0.0,0.0
dried,200704,0.0,0.0,0.0
dried,200705,0.0,0.0,0.0
dried,200706,0.0,0.0,0.0
dried,200707,0.0,0.0,0.0
dried,200708,0.0,0.0,0.0
dried,200709,0.0,0.0,0.0
dried,200710,0.0,0.0,0.0
dried,200711,0.0,0.0,0.0
dried,200712,0.0,0.0,0.0
dried,200801,0.0,0.0,0.0
dried,200802,0.0,0.0,0.0
dried,200803,0.0,0.0,0.0
dried,200804,0.0,0.0,0.0
dried,200805,0.0,0.0,0.0
dried,200806,0.0,0.0,0.0
dried,200807,0.0,0.0,0.0
dried,200808,0.0,0.0,0.0
dried,200809,0.0,0.0,0.0
dried,200810,0.0,0.0,0.0
dried,200811,0.0,0.0,0.0
dried,200812,0.0,0.0,0.0
dried,200901,0.0,0.0,0.0
dried,200902,0.0,0.0,0.0
dried,200903,0.0,0.0,0.0
dried,200904,0.0,0.0,0.0
dried,200905,0.0,0.0,0.0
dried,200906,0.0,0.0,0.0
dried,200907,0.0,0.0,0.0
dried,200908,0.0,0.0,0.0
dried,200909,0.0,0.0,0.0
dried,200910,0.0,0.0,0.0
dried,200911,0.0,0.0,0.0
dried,200912,0.0,0.0,0.0
dried,201001,0.0,0.0,0.0
dried,201002,0.0,0.0,0.0
