kw,prd,val
CPI_풋고추,200101,45.772
CPI_풋고추,200102,65.711
CPI_풋고추,200103,79.174
CPI_풋고추,200104,42.57
CPI_풋고추,200105,34.602
CPI_풋고추,200106,36.167
CPI_풋고추,200107,34.53
CPI_풋고추,200108,37.185
CPI_풋고추,200109,36.494
CPI_풋고추,200110,33.838
CPI_풋고추,200111,30.637
CPI_풋고추,200112,34.093
CPI_풋고추,200201,52.395
CPI_풋고추,200202,84.158
CPI_풋고추,200203,67.058
CPI_풋고추,200204,43.626
CPI_풋고추,200205,49.265
CPI_풋고추,200206,42.498
CPI_풋고추,200207,31.182
CPI_풋고추,200208,35.002
CPI_풋고추,200209,42.825
CPI_풋고추,200210,35.803
CPI_풋고추,200211,60.217
CPI_풋고추,200212,76.773
CPI_풋고추,200301,69.496
CPI_풋고추,200302,63.382
CPI_풋고추,200303,81.721
CPI_풋고추,200304,46.755
CPI_풋고추,200305,49.265
CPI_풋고추,200306,40.896
CPI_풋고추,200307,37.404
CPI_풋고추,200308,38.569
CPI_풋고추,200309,51.922
CPI_풋고추,200310,46.791
CPI_풋고추,200311,47.228
CPI_풋고추,200312,48.465
CPI_풋고추,200401,55.887
CPI_풋고추,200402,61.492
CPI_풋고추,200403,65.056
CPI_풋고추,200404,46.427
CPI_풋고추,200405,45.7
CPI_풋고추,200406,46.318
CPI_풋고추,200407,44.244
CPI_풋고추,200408,48.283
CPI_풋고추,200409,53.304
CPI_풋고추,200410,50.212
CPI_풋고추,200411,53.268
CPI_풋고추,200412,55.415
CPI_풋고추,200501,57.365
CPI_풋고추,200502,73.732
CPI_풋고추,200503,81.833
CPI_풋고추,200504,62.205
CPI_풋고추,200505,50.514
CPI_풋고추,200506,44.587
CPI_풋고추,200507,43.554
CPI_풋고추,200508,40.618
CPI_풋고추,200509,50.949
CPI_풋고추,200510,46.653
CPI_풋고추,200511,46.762
CPI_풋고추,200512,53.668
CPI_풋고추,200601,78.843
CPI_풋고추,200602,103.964
CPI_풋고추,200603,105.54
CPI_풋고추,200604,67.316
CPI_풋고추,200605,63.89
CPI_풋고추,200606,57.583
CPI_풋고추,200607,54.972
CPI_풋고추,200608,64.053
CPI_풋고추,200609,64.978
CPI_풋고추,200610,53.395
CPI_풋고추,200611,41.868
CPI_풋고추,200612,53.831
CPI_풋고추,200701,60.845
CPI_풋고추,200702,76.885
CPI_풋고추,200703,68.62
CPI_풋고추,200704,62.803
CPI_풋고추,200705,53.668
CPI_풋고추,200706,49.589
CPI_풋고추,200707,49.263
CPI_풋고추,200708,51.384
CPI_풋고추,200709,65.739
CPI_풋고추,200710,64.053
CPI_풋고추,200711,77.483
CPI_풋고추,200712,91.023
CPI_풋고추,200801,97.548
CPI_풋고추,200802,108.749
CPI_풋고추,200803,88.956
CPI_풋고추,200804,67.751
CPI_풋고추,200805,58.942
CPI_풋고추,200806,51.547
CPI_풋고추,200807,52.091
CPI_풋고추,200808,50.079
CPI_풋고추,200809,46.545
CPI_풋고추,200810,43.282
CPI_풋고추,200811,50.568
CPI_풋고추,200812,55.57
CPI_풋고추,200901,74.71
CPI_풋고추,200902,95.427
CPI_풋고추,200903,117.177
CPI_풋고추,200904,72.59
CPI_풋고추,200905,61.606
CPI_풋고추,200906,57.583
CPI_풋고추,200907,55.516
CPI_풋고추,200908,58.072
CPI_풋고추,200909,49.698
CPI_풋고추,200910,50.46
CPI_풋고추,200911,59.594
CPI_풋고추,200912,68.675
CPI_풋고추,201001,74.09
CPI_풋고추,201002,93.4
CPI_풋고추,201003,123.941
CPI_풋고추,201004,104.712
CPI_풋고추,201005,77.725
CPI_풋고추,201006,60.92
CPI_풋고추,201007,58.577
CPI_풋고추,201008,53.648
CPI_풋고추,201009,85.643
CPI_풋고추,201010,83.624
CPI_풋고추,201011,79.18
CPI_풋고추,201012,74.009
CPI_풋고추,201101,68.353
CPI_풋고추,201102,72.717
CPI_풋고추,201103,95.985
CPI_풋고추,201104,62.94
CPI_풋고추,201105,58.173
CPI_풋고추,201106,67.707
CPI_풋고추,201107,79.342
CPI_풋고추,201108,82.897
CPI_풋고추,201109,77.807
CPI_풋고추,201110,66.818
CPI_풋고추,201111,73.848
CPI_풋고추,201112,77.807
CPI_풋고추,201201,92.447
CPI_풋고추,201202,115.853
CPI_풋고추,201203,144.107
CPI_풋고추,201204,94.846
CPI_풋고추,201205,79.277
CPI_풋고추,201206,66.987
CPI_풋고추,201207,59.717
CPI_풋고추,201208,59.902
CPI_풋고추,201209,81.983
CPI_풋고추,201210,83.842
CPI_풋고추,201211,79.277
CPI_풋고추,201212,90.354
CPI_풋고추,201301,107.499
CPI_풋고추,201302,125.306
CPI_풋고추,201303,115.045
CPI_풋고추,201304,77.556
CPI_풋고추,201305,68.854
CPI_풋고추,201306,68.143
CPI_풋고추,201307,69.291
CPI_풋고추,201308,80.336
CPI_풋고추,201309,70.284
CPI_풋고추,201310,60.977
CPI_풋고추,201311,60.258
CPI_풋고추,201312,62.964
CPI_풋고추,201401,87.809
CPI_풋고추,201402,117.8
CPI_풋고추,201403,116.233
CPI_풋고추,201404,85.142
CPI_풋고추,201405,76.91
CPI_풋고추,201406,70.413
CPI_풋고추,201407,65.703
CPI_풋고추,201408,67.513
CPI_풋고추,201409,87.785
CPI_풋고추,201410,67.699
CPI_풋고추,201411,85.563
CPI_풋고추,201412,97.739
CPI_풋고추,201501,104.372
CPI_풋고추,201502,134.082
CPI_풋고추,201503,122.393
CPI_풋고추,201504,89.103
CPI_풋고추,201505,85.111
CPI_풋고추,201506,71.057
CPI_풋고추,201507,65.365
CPI_풋고추,201508,59.944
CPI_풋고추,201509,60.766
CPI_풋고추,201510,57.554
CPI_풋고추,201511,60.626
CPI_풋고추,201512,75.287
CPI_풋고추,201601,86.245
CPI_풋고추,201602,114.41
CPI_풋고추,201603,92.734
CPI_풋고추,201604,76.454
CPI_풋고추,201605,69.719
CPI_풋고추,201606,64.24
CPI_풋고추,201607,69.899
CPI_풋고추,201608,78.86
CPI_풋고추,201609,127.478
CPI_풋고추,201610,88.692
CPI_풋고추,201611,97.218
CPI_풋고추,201612,96.725
CPI_풋고추,201701,104.685
CPI_풋고추,201702,103.321
CPI_풋고추,201703,95.37
CPI_풋고추,201704,82.376
CPI_풋고추,201705,82.573
CPI_풋고추,201706,80.281
CPI_풋고추,201707,81.169
CPI_풋고추,201708,92.216
CPI_풋고추,201709,101.719
CPI_풋고추,201710,81.735
CPI_풋고추,201711,78.129
CPI_풋고추,201712,71.353
CPI_풋고추,201801,79.83
CPI_풋고추,201802,125.186
CPI_풋고추,201803,96.75
CPI_풋고추,201804,89.374
CPI_풋고추,201805,77.776
CPI_풋고추,201806,78.992
CPI_풋고추,201807,78.639
CPI_풋고추,201808,91.181
CPI_풋고추,201809,99.075
CPI_풋고추,201810,85.128
CPI_풋고추,201811,78.384
CPI_풋고추,201812,71.961
CPI_풋고추,201901,79.936
CPI_풋고추,201902,94.007
CPI_풋고추,201903,98.598
CPI_풋고추,201904,78.828
CPI_풋고추,201905,79.55
CPI_풋고추,201906,77.661
CPI_풋고추,201907,76.503
CPI_풋고추,201908,86.31
CPI_풋고추,201909,95.411
CPI_풋고추,201910,89.161
CPI_풋고추,201911,92.66
CPI_풋고추,201912,87.288
CPI_풋고추,202001,104.76
CPI_풋고추,202002,125.98
CPI_풋고추,202003,122.69
CPI_풋고추,202004,92.94
CPI_풋고추,202005,82.01
CPI_풋고추,202006,78.77
CPI_풋고추,202007,88.12
CPI_풋고추,202008,93.5
CPI_풋고추,202009,118.55
CPI_풋고추,202010,124.88
CPI_풋고추,202011,90.77
CPI_풋고추,202012,77.02
CPI_풋고추,202101,89.73
CPI_풋고추,202102,137.1
CPI_풋고추,202103,122.25
CPI_풋고추,202104,99.34
CPI_풋고추,202105,91.03
CPI_풋고추,202106,95.28
CPI_풋고추,202107,96.5
CPI_풋고추,202108,90.29
CPI_풋고추,202109,90.81
CPI_풋고추,202110,82.9
CPI_풋고추,202111,107.62
CPI_풋고추,202112,90.77
CPI_풋고추,202201,99.4
CPI_풋고추,202202,119.89
CPI_풋고추,202203,114.4
