tm,stn,WS,WSMAX,TA,TMAX,TMIN,TS,TG,HM,HMMIN,CA,SS,SI,RN,RNDUR,EV
20010101,192,1.3,4.0,-2.1,5.6,-10.2,1.0,-10.5,45.6,13.0,2.1,7.5,10.41,,,1.1
20010102,192,2.6,6.4,1.8,8.8,-4.1,2.5,-4.7,47.6,23.0,3.5,5.9,8.8,,,2.4
20010103,192,2.5,4.4,-0.2,4.0,-4.1,1.3,-6.0,42.8,27.0,3.3,7.3,8.89,,,1.2
20010104,192,3.5,5.9,-2.3,2.8,-7.7,0.6,-8.6,37.6,15.0,0.4,9.1,11.45,,,2.4
20010105,192,1.6,4.4,-3.9,4.4,-10.9,-0.4,-11.1,48.0,18.0,0.0,8.6,10.41,,,1.3
20010106,192,1.4,2.9,-1.1,4.8,-10.7,0.2,-11.0,42.6,12.0,5.9,5.4,8.57,,,0.8
20010107,192,1.9,3.0,1.4,3.6,-0.6,-0.1,-1.4,90.3,34.0,10.0,0.0,1.12,25.8,17.92,0.5
20010108,192,1.3,2.7,4.6,10.3,-0.3,4.6,-1.4,74.9,51.0,7.1,5.1,9.16,,,0.9
20010109,192,1.7,4.8,3.7,5.6,0.9,2.9,-1.3,78.0,54.0,9.6,0.0,1.54,6.5,9.67,0.4
20010110,192,2.7,4.3,-0.4,5.1,-6.2,3.0,-6.5,46.1,19.0,2.1,8.4,11.94,,,2.0
20010111,192,1.7,3.8,-0.6,6.5,-6.4,1.7,-7.1,51.5,16.0,1.1,6.8,10.07,,,1.7
20010112,192,2.1,3.3,-1.9,3.6,-6.6,0.6,-7.0,44.5,24.0,2.4,8.5,10.93,,,1.2
20010113,192,2.6,4.5,-3.5,2.2,-6.6,-0.7,-6.8,61.4,38.0,4.9,4.3,7.27,10.6,6.92,0.8
20010114,192,3.1,4.4,-6.8,-1.5,-12.0,-2.8,-13.0,43.9,29.0,1.8,8.4,11.85,0.0,0.2,1.6
20010115,192,3.1,5.3,-7.8,-3.3,-12.9,-4.7,-13.2,43.6,26.0,0.0,9.2,12.87,,,1.4
20010116,192,1.8,4.2,-8.1,-0.9,-15.4,-4.1,-16.0,53.3,25.0,0.0,9.4,13.03,,,1.5
20010117,192,0.8,1.9,-6.1,2.2,-13.6,-1.8,-14.1,57.8,21.0,0.3,9.5,12.22,,,2.3
20010118,192,0.6,1.2,-3.5,7.5,-12.7,-0.7,-13.5,69.3,33.0,0.8,9.0,11.95,,,0.8
20010119,192,0.6,1.7,0.3,7.4,-8.0,0.4,-8.6,72.5,41.0,5.1,3.9,7.76,0.2,2.33,1.3
20010120,192,1.8,3.5,2.5,8.5,-1.0,2.5,-2.3,85.0,64.0,6.4,2.4,5.68,14.5,10.0,1.6
20010121,192,1.6,3.2,1.1,8.9,-3.6,3.0,-4.1,67.0,24.0,1.0,9.2,12.77,,,1.3
20010122,192,1.0,1.7,0.1,5.4,-3.6,0.0,-4.0,69.9,36.0,7.5,0.0,4.63,,,0.5
20010123,192,1.4,4.1,-0.2,8.1,-6.3,2.2,-6.7,56.1,12.0,2.8,8.0,12.96,,,1.4
20010124,192,1.4,3.6,1.2,6.0,-5.4,0.0,-6.0,62.4,48.0,8.4,0.0,5.22,,,0.6
20010125,192,2.3,3.7,4.6,7.4,2.2,2.4,-0.8,62.5,55.0,9.4,0.0,3.44,0.0,1.33,1.3
20010126,192,4.5,6.1,4.5,6.8,1.6,2.9,0.5,57.4,46.0,9.5,0.2,3.99,0.3,1.17,1.0
20010127,192,2.3,4.5,3.0,9.1,-1.5,3.9,-3.2,70.9,43.0,6.0,4.9,9.84,1.0,5.3,1.7
20010128,192,2.0,4.3,-0.2,5.6,-4.6,1.5,-5.2,60.4,24.0,4.4,2.4,6.65,0.0,1.17,1.5
20010129,192,2.0,5.6,-0.5,6.7,-6.8,2.3,-7.1,53.5,27.0,1.0,9.5,13.84,,,1.9
20010130,192,0.9,1.9,-0.4,7.6,-6.8,2.7,-7.0,64.1,31.0,1.0,6.9,12.51,,,1.3
20010131,192,0.6,1.0,-0.6,5.4,-6.6,0.0,-7.1,73.9,52.0,7.5,0.2,4.69,,,0.6
20010201,192,3.8,6.5,0.9,5.0,-3.7,2.8,-4.1,33.4,16.0,4.1,8.7,14.18,,,2.6
20010202,192,2.0,4.0,-2.2,5.4,-8.2,1.4,-8.8,36.0,13.0,0.0,9.7,14.64,,,1.4
