region,item,year,val
전국,건고추_면적,2000,74471
전국,건고추_면적,2001,70736
전국,건고추_면적,2002,72104
전국,건고추_면적,2003,57502
전국,건고추_면적,2004,61894
전국,건고추_면적,2005,61299
전국,건고추_면적,2006,53097
전국,건고추_면적,2007,54876
전국,건고추_면적,2008,48825
전국,건고추_면적,2009,44817
전국,건고추_면적,2010,44584
전국,건고추_면적,2011,42574
전국,건고추_면적,2012,45459
전국,건고추_면적,2013,45360
전국,건고추_면적,2014,36120
전국,건고추_면적,2015,34514
전국,건고추_면적,2016,32181
전국,건고추_면적,2017,28336.6613
전국,건고추_면적,2018,28823.7096
전국,건고추_면적,2019,31643.8791
전국,건고추_면적,2020,31146.147
전국,건고추_면적,2021,33373.2785
전국,건고추_면적,2022,29769.5949
전국,건고추_면적,2023,27131.6129
전국,건고추_면적,2024,26430.1325
전국,건고추_면적,2025,25743.2736
전국,건고추_면적,2026,-
전국,건고추_단수,2000,260
전국,건고추_단수,2001,255
전국,건고추_단수,2002,267
전국,건고추_단수,2003,230
전국,건고추_단수,2004,250
전국,건고추_단수,2005,263
전국,건고추_단수,2006,220
전국,건고추_단수,2007,292.29124
전국,건고추_단수,2008,252.9626
전국,건고추_단수,2009,261.78533
전국,건고추_단수,2010,214
전국,건고추_단수,2011,181.11952
전국,건고추_단수,2012,229.09822
전국,건고추_단수,2013,259.73503
전국,건고추_단수,2014,235.51449
전국,건고추_단수,2015,283.06432
전국,건고추_단수,2016,265.55682
전국,건고추_단수,2017,196.61509
전국,건고추_단수,2018,248.0922
전국,건고추_단수,2019,247.87538
전국,건고추_단수,2020,192.8843
전국,건고추_단수,2021,277.939
전국,건고추_단수,2022,231.7253
전국,건고추_단수,2023,227.281
전국,건고추_단수,2024,257.5635
전국,건고추_단수,2025,238.7002
전국,건고추_단수,2026,-
전국,건고추_생산량,2000,193786
전국,건고추_생산량,2001,180120
전국,건고추_생산량,2002,192753
전국,건고추_생산량,2003,132010
전국,건고추_생산량,2004,154962
전국,건고추_생산량,2005,161380
전국,건고추_생산량,2006,116914
전국,건고추_생산량,2007,160397.73948
전국,건고추_생산량,2008,123509.00139
전국,건고추_생산량,2009,117324.32931
전국,건고추_생산량,2010,95391
전국,건고추_생산량,2011,77109.82388
전국,건고추_생산량,2012,104145.76134
전국,건고추_생산량,2013,117815.80759
전국,건고추_생산량,2014,85067.83199
전국,건고추_생산량,2015,97696.81995
전국,건고추_생산량,2016,85458.84
전국,건고추_생산량,2017,55714.151
전국,건고추_생산량,2018,71509.37641
전국,건고추_생산량,2019,78437.38657
전국,건고추_생산량,2020,60076.0211
전국,건고추_생산량,2021,92757.363
전국,건고추_생산량,2022,68983.6752
전국,건고추_생산량,2023,61664.9983
전국,건고추_생산량,2024,68074.3772
전국,건고추_생산량,2025,61449.2485
전국,건고추_생산량,2026,-
전국,풋고추_면적,2000,5659
전국,풋고추_면적,2001,5517
전국,풋고추_면적,2002,4620
전국,풋고추_면적,2003,5648
전국,풋고추_면적,2004,6485
전국,풋고추_면적,2005,5724
전국,풋고추_면적,2006,5606
전국,풋고추_면적,2007,5966
전국,풋고추_면적,2008,6060
전국,풋고추_면적,2009,5704
전국,풋고추_면적,2010,5392
전국,풋고추_면적,2011,4814
전국,풋고추_면적,2012,4995
전국,풋고추_면적,2013,4851
전국,풋고추_면적,2014,4619
전국,풋고추_면적,2015,4878
전국,풋고추_면적,2016,4455
전국,풋고추_면적,2017,4528.5555
전국,풋고추_면적,2018,4805.8079
전국,풋고추_면적,2019,4255.7224
전국,풋고추_면적,2020,4386.8518
전국,풋고추_면적,2021,4387.9847
전국,풋고추_면적,2022,3757.5597
전국,풋고추_면적,2023,3796.0773
전국,풋고추_면적,2024,3717.1479
전국,풋고추_면적,2025,-
전국,풋고추_면적,2026,-
전국,풋고추_생산량,2000,197512
전국,풋고추_생산량,2001,231630
전국,풋고추_생산량,2002,188403
